13310002,Intermarché
13200006,Leclerc
13013008,Casino
13270008,Indépendant sans enseigne
13310001,Système U
13014010,Avia
13014012,BP
13011003,Avia
13180002,Carrefour Market
13580002,Système U
13700007,Intermarché
13000001,Intermarché
13127009,Garoucha
13300009,GAROUCHA
13013014,Agip
13097001,Géant
13011019,Indépendant sans enseigne
13750003,Esso
13790003,Avia
13127005,Agip
13200004,Total
13400003,Total
13750001,Total
13560004,Simply Market
13510002,Total
13750004,Total
13120001,Carrefour Market
13370006,Intermarché
13370003,Intermarché
13011020,Carrefour Contact
13400001,Auchan
13320010,Système U
13120003,Intermarché
13510001,Total
13440002,Intermarché Contact
13210003,Total
13210001,Total
13480001,Total
13127012,Esso Express
13410001,Shopi
13300002,Total
13190001,Total
13320005,Esso
13500006,Intermarché
13640001,Total
13520001,Total
13105001,Intermarché
13013003,BP
13320003,Total
13002004,Avia
13009009,Avia
13530001,Carrefour Market
13110004,Indépendant sans enseigne
13880002,Intermarché
13130006,Total Access
13012025,BP
13012024,Simply Market
13340001,Carrefour Market
13170003,Agip
13230002,Netto
13230001,Intermarché
13140002,Dyneff
13012001,Géant
13680003,Avia
13400002,Total
13770001,BP
13460003,Indépendant sans enseigne
13600016,Agip
13014013,Indépendant sans enseigne
13600013,BP
13600006,Avia
13300006,Dyneff
13710001,Total
13920004,Carrefour Market
13430002,Indépendant sans enseigne
13360001,Intermarché
13015016,Agip
13870002,Indépendant sans enseigne
13700006,Indépendant sans enseigne
13180001,Agip
13170008,Indépendant sans enseigne
13780003,Carrefour Contact
13170007,Avia
13430001,Intermarché
13120005,Indépendant sans enseigne
13112005,Avia
13650003,Avia
13120004,Indépendant sans enseigne
13009006,Leclerc
13560002,Elan
13112002,Casino
13580003,Indépendant sans enseigne
13920002,Dyneff
13610001,Total
13920003,LE CHALET
13230003,Indépendant sans enseigne
13880001,Avia
13370005,Indépendant sans enseigne
13115001,Elan
13013002,BP
13420001,Avia
13160004,Carrefour Market
13650002,ESSO
13006003,Avia
14390001,Carrefour Market
14200006,Système U
14000009,Système U
14400003,Total Access
14160002,Système U
14230001,Carrefour Market
14160003,Intermarché
14470002,Carrefour Market
14112001,Carrefour Contact
14000014,Leclerc
14204001,Carrefour
14230002,Intermarché
14400007,Intermarché
14460002,Système U
14125001,Carrefour
14800005,Leclerc
14053001,Carrefour
14410002,Carrefour Contact
14400004,Esso Express
14290001,Carrefour Market
14920001,Esso Express
14220002,X.BEE
14100007,Intermarché
14500005,Leclerc
14123005,Système U
14110001,Total Access
14310002,Total
14130004,Intermarché
14130003,Intermarché
14100003,Leclerc
14440002,Système U
14800006,Carrefour
14310003,Carrefour Market
14400009,Carrefour
14404001,Leclerc
14600003,Leclerc
14123009,Leclerc
14123004,Leclerc
14980002,CORA
14700001,Carrefour Market
14470001,Total
14700004,Leclerc
14330001,Système U
14520003,Système U
14320001,Total
14150001,Esso Express
14000019,Total
14000020,Total Access
14000021,Total Access
14123007,Total Access
14123008,Total
14130007,Total Access
14160004,Total
14200009,Total Access
14400010,Total Access
14600007,Total Access
14760002,Total Access
14800009,Total
14130001,Total
14440001,Total
14550001,Leclerc
14710001,Communale
14540001,Carrefour Contact
14170003,Casino
14100008,Avia
14120002,Total
14600004,Intermarché
14500006,Roady
14630002,Carrefour Contact
14100006,Système U
14740001,Carrefour Contact
14500003,Carrefour Market
14111001,Intermarché
14250002,Carrefour Contact
14790001,TOTAL
14270001,Carrefour Market
14200002,Esso
14880002,Elan
14370003,Leclerc
14110002,Intermarché
14430001,Système U
14520004,Système U
14730001,BP
14320003,Carrefour Market
14380003,Avia
14380002,Total
14310004,Leclerc
14670001,Système U
14880001,Simply Market
14800008,Avia
14120001,Système U
14200008,Simply market
14123001,Simply Market
14170001,Total
14800001,Total Access
14780002,Carrefour Contact
14990002,Intermarché
14240001,Intermarché
14140001,Intermarché
14260002,Intermarché
14500008,Carrefour Contact
14420001,Carrefour Contact
14730003,Esso
14350002,Total
14100002,Elan
14450001,Carrefour Contact
14260001,LEader price
14280002,Indépendant sans enseigne
14000003,Total
14380001,Carrefour Contact
14100004,Esso
14100005,Total
14700007,ESSO
14500001,Total
14520002,Elan
14700005,ELAN
14210001,Intermarché
14980005,BP
14500007,Elan
14970002,Leader Price
14000010,Intermarché
14730002,Esso
14680001,Carrefour Contact
14051003,BP
14400005,Esso
14640001,Elan
15250004,Carrefour Contact
15600003,Intermarché
15100001,Total
15004001,Géant
15700005,Système U
15000016,Total Access
15000014,Elan
15000001,Simply Market
15000008,Intermarché
15800002,Ecomarché
15100010,Esso
15100003,Esso
15004002,Leclerc
15200001,Carrefour Market
15400004,Elan
15200004,Intermarché
15000009,Intermarché
15130001,Total
15110001,Total
15300003,Intermarché
15250006,Carrefour Contact
15290001,Indépendant sans enseigne
15500007,Carrefour Contact
15110003,Indépendant sans enseigne
15130003,Esso
15600002,Avia
15400002,ESSO
15300002,Total
15100004,ESSO
15100005,Carrefour Market
15100006,Intermarché
15300007,Indépendant sans enseigne
15000003,Total
15500003,Intermarché
15600001,Total
15190001,ESSO
15220001,Indépendant sans enseigne
15310001,Elan
15000005,Total
15700001,Avia
15190002,Shopi
15400003,Carrefour Market
15210001,Système U
15250003,Total
15250001,Total
15500006,Indépendant sans enseigne
15000012,Avia
15300006,Avia
15000013,Avia
15100009,Leader Price
16200003,Intermarché
16400002,Système U
16730002,Intermarché
16270003,Intermarché
16800001,Carrefour
16430004,Intermarché
16110001,Leclerc
16170001,Système U
16700003,Leclerc
16100001,Auchan
16300002,Leclerc
16400001,Auchan
16120001,Système U
16000004,Intermarché
16100006,Intermarché
16100004,Leclerc
16100005,Avia
16021001,Leclerc
16430001,Géant
16700002,Shell
16160001,Avia
16700006,Avia
16000007,Total
16000008,Total Access
16000009,Total Access
16100008,Total
16430005,Total Access
16300001,Total
16360001,Total
16150004,Elan
16190001,Système U
16320003,Système U
16260002,Intermarché
16150003,Système U
16700004,Intermarché
16300004,Intermarché
16230002,Système U
16360002,Intermarché
16260001,Total
